Word,Definition
AAA,"Authentication, Authorization, and Accounting"
AAAA,"Authentication, Authorization, Accounting, and Auditing"
ACL,Access Control List
ADF,Automatic Document Feeder
AES,Advanced Encryption Standard
AMD,"Advanced Micro Devices, Inc."
APFS,Apple File System
APIPA,Automatic Private Internet Protocol Addressing
ARM,Advanced RISC [Reduced Instruction Set Computer] Machine
ATX,Advanced Technology Extended
BEC,Business Email Compromise
BIOS,Basic Input/Output System
BSOD,Blue Screen of Death
BYOD,Bring Your Own Device
CAC,Calling-card Authorization Computer
CIFS,Common Internet File System
CMDB,Configuration Management Database
CNAME,Canonical Name
CPU,Central Processing Unit
DB-9,"Serial Communications D-Shell Connector, 9 pins"
DDoS,Distributed Denial of Service
DDR,Double Data Rate
DHCP,Dynamic Host Configuration Protocol
DIMM,Dual In-Line Memory Module
DKIM,Domain Keys Identified Mail
DLP,Data Loss Prevention
DMARC,"Domain-based Message Authentication, Reporting, and Conformance"
DNS,Domain Name System
DoS,Denial of Service
DRM,Digital Rights Management
DSL,Digital Subscriber Line
DVI,Digital Visual Interface
ECC,Error-Correcting Code
EDR,Endpoint Detection and Response
EFS,Encrypting File System
EOL,End-of-Life
eSATA,External Serial Advanced Technology Attachment
ESD,Electrostatic Discharge
EULA,End-User License Agreement
exFAT,Extended File Allocation Table
FAT32,32-bit File Allocation Table
FRT,Facial Recognition Technology
FTP,File Transfer Protocol
GFS,Grandfather-Father-Son
GPS,Global Positioning System
GPT,GUID [Globally Unique Identifier] Partition Table
GUID,Globally Unique Identifier
HDD,Hard Disk Drive
HDMI,High-Definition Media Interface
HSM,Hardware Security Module
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
IaaS,Infrastructure as a Service
IAM,Identity and Access Management
IMAP,Internet Mail Access Protocol
IOPS,Input/Output Operations Per Second
IoT,Internet of Things
IP,Internet Protocol
IPS,In-Plane Switching
ISO,International Organization for Standardization
ITX,Information Technology eXtended
KVM,Keyboard Video Mouse
LAN,Local Area Network
LC,Lucent Connector
LCD,Liquid Crystal Display
LDAP,Lightweight Directory Access Protocol
LED,Light-Emitting Diode
MAC,Media Access Control
MAN,Metropolitan Area Network
MBR,Master Boot Record
MDM,Mobile Device Management
MDR,Managed Detection and Response
MFA,Multifactor Authentication
MMC,Microsoft Management Console
MNDA,Mutual Non-Disclosure Agreement
mSATA,Mini-Serial Advanced Technology Attachment
MSDS,Material Safety Data Sheet
MX,Mail Exchange
NDA,Non-Disclosure Agreement
NetBIOS,Network Basic Input/Output System
NFC,Near-Field Communication
NIC,Network Interface Card
NTFS,New Technology File System
NTP,Network Time Protocol
NVME,Non-Volatile Memory Express
OLED,Organic Light-Emitting Diode
ONT,Optical Network Terminal
OS,Operating System
OTP,One-Time PAssword
PaaS,Platform as a Service
PAM,Privileged Access Management
PAN,Personal Area Network
PC,Personal Computer
PCI,Peripheral Component Interconnect
PCIe,Peripheral Component Interconnect Express
PII,Personally Identifiable Information
PIN,Personal Identification Number
PIV,Personal Identitiy Verification
PoE,Power over Ethernet
POP,Post Office Protocol
POST,Power On Self Test
PUP,Potentially Unwanted Program
RADIUS,Remote Authentication Dial-in User Server
RAID,Redundant Array of Independent Disks
RAM,Random Access Memory
RDP,Remote Desktop Protocol
ReFS,Resilient File System
RFID,Radio-Frequency Identification
RJ11,Registered Jack Function 11
RJ45,Registered Jack Function 45
RMM,Remote Monitoring and Management
RSR,Rapid Security Response
SaaS,Software as a Service
SAN,Storage Area Network
SAML,Security Assertions Markup Language
SAS,Serial Attached SCSI [Small Computer System Interface]
SATA,Serial Advanced Technology Attachment
SC,Subscriber Connectro
SCADA,Supervisory Control and Data Acquisition
SCSI,Small Computer System Interface
SIM,Subscriber Identity Module
SLA,Service-Level Agreement
S.M.A.R.T.,Self-Monitoring Analysis and Reporting Technology
SMB,Server Message Block
SMS,Short Message Service
SMTP,Simple Mail Transfer Protocol
SODIMM,Small Outline Dual In-Line Memory Module
SOHO,Small Office/Home Office
SOP,Standard Operating Procedure
SPF,Sender Policy Framework
SPICE,Software Process Improvement and Capability Determination
SQL,Structured Query Language
SSD,Solid State Drive
SSH,Secure Shell
SSID,Service Set Identifier
SSO,Single Sign-On
ST,Straight Tip
TACACS,Terminal Access Controller Access-Control System
TCP,Transmission Control Protocol
TKIP,Temporal Key Integrity Protocol
TN,Twisted Nematic
TOTP,Time-based One Time Password
TPM,Trusted Platform Module
UAC,User Account Control
UDP,User Datagram Protocol
UEFI,Unified Extensible Firmware Interface
UPnP,Universal Plug and Play
UPS,Uninterruptible Power Supply
USB,Universal Serial Bus
UTM,Unified Threat Management
