node_id,word,definition,cluster,x,y,z,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
W75,Active Directory: User profiles,,0,-0.265827179687247,0.4283679909184748,-0.8636184197294506,"A user receives a ""You have been logged in with a temporary profile"" notification upon boot, and any files saved to the desktop vanish completely after restarting the computer.","Check network path connectivity to the profile storage server; if a local profile registry key is corrupted, open ""regedit"" and navigate to ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList"", find the profile entry ending in "".bak"", and repair or rebuild the profile mapping.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS
W129,Apple: Online resources,,0,-0.2740453977095614,0.41595543675018776,-0.8671102551764505,"Mobile Device Management (MDM) platforms fail to enroll corporate Apple devices, or technicians are unable to download diagnostic image utilities or look up hardware support articles.",Check local network firewall configurations to ensure required Apple push notification and sync ports are open; verify certificate validation states inside the enterprise deployment dashboard portal; clear web cache configurations.,Operating Systems Management,External Technical Resources,CORE 2,,OPERATING SYSTEMS
W270,Browsers: Clearing data,,0,-0.27603372441774543,0.435445552216528,-0.8568503685235314,"Portal sites display stale information layouts, authentication sessions fail to update, or internal storage spaces become unnecessarily filled.","Enter application preference spaces via commands like “Ctrl+Shift+Del”, select the appropriate data categories and time ranges, then click the clear button.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W285,Browsers: Settings,,0,-0.25690867592440814,0.4211454931716358,-0.8698473462717393,"The default search engine keeps reverting to an unknown provider, or the homepage changes without user input.","Navigate to the bottom of the advanced preferences screen, locate the reset option, and click “Restore settings to their original defaults” to clear rogue modifications.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W286,Browsers: Sign-in/data synchronization,,0,-0.2871525859620287,0.4178920027888243,-0.8619220767450297,"Bookmarks saved on a work laptop fail to appear on a home workstation, or synchronization status indicators display account error states.","Log completely out of the sync account profile inside the browser settings, sign back in using current multi-factor credentials, and ensure sync permissions are toggled on.",Software Applications & Browsers,Browser Configurations & Security,CORE 2,,OPERATING SYSTEMS
W391,"Collecting data, disabling",,0,-0.2616551227243835,0.4418048764809338,-0.8581054992655359,"Excessive bandwidth usage, sluggish performance, or concerns regarding data privacy and security logs being sent to the manufacturer.",Navigate to 'Settings > Privacy > Diagnostics & feedback' (or equivalent) and toggle off the 'Send optional diagnostic data' or 'Telemetry' options.,Operating Systems,Security Configuration,CORE 2,,SECURITY
W1335,Logical security: User profiles,,0,-0.2658720930004451,0.4069201557596255,-0.8739153374327087,"Workstations boot into an empty desktop workspace throwing error notifications stating ""You have been logged in with a temporary profile"", and personal files disappear upon reboot.","Access an elevated command window interface and run the command ""regedit"" to launch the Registry Editor, navigate down to the configuration path ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList"", locate the broken profile key entry ending with a “.bak” string extension, clear out corrupted lock values, and restart the host.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
W1378,macOS (OS X): System Preferences,,0,-0.2893102926195278,0.4342741827324241,-0.8530565566224131,"Modifying a system preference fails to save, configuration panels lock up upon click, or certain settings icons appear blanked out.","Navigate to the user account's hidden preferences folder at “~/Library/Preferences/” using Finder, locate the file named “com.apple.systempreferences.plist”, move it to the Trash folder, and restart the system to rebuild a fresh, clean preferences configuration file.",Operating Systems,Mac Operating Systems,CORE 2,,OPERATING SYSTEMS
W1966,Profiles: User profiles,,0,-0.24736482437143628,0.43131160914327876,-0.8676294943591556,"System boots to a ""temporary"" profile, desktop icons are missing, custom settings are reset to default, or the system reports that it ""cannot load the user profile.""","Restart the system; if the issue persists, use the “System Properties” dialog (accessed via “sysdm.cpl”) to manage profiles, or check the “Event Viewer” (“eventvwr.msc”) for “User Profile Service” errors to determine if the local profile directory is corrupted.",Operating Systems,Account Management,CORE 2,,OPERATING SYSTEMS
W2340,Settings: Apps section,,0,-0.28645875707239454,0.40486317210848993,-0.8683473915241469,"Unable to uninstall a corrupted application, or an app won't launch.","Go to “Settings > Apps”, find the application in the list, select it, and choose “Modify” or “Uninstall” to repair or remove the software.",Operating Systems,OS Maintenance,CORE 2,,OPERATING SYSTEMS
